,No.,Pos.,Player,Date of birth (age),Caps,Club,Year
0,1,GK,Álvaro Mesén,24 December 1972,38,Herediano,2006
1,2,DF,Jervis Drummond,8 September 1976,56,Saprissa,2006
2,3,DF,Luis Marín (c),10 August 1974,120,Alajuelense,2006
3,4,DF,Michael Umaña,16 July 1982,18,Brujas,2006
4,5,DF,Gilberto Martínez,1 October 1979,57,Brescia,2006
5,6,MF,Danny Fonseca,7 November 1979,22,Cartaginés,2006
6,7,MF,Christian Bolaños,17 May 1984,16,Saprissa,2006
7,8,MF,Mauricio Solís,13 December 1972,107,Comunicaciones,2006
8,9,FW,Paulo Wanchope,31 July 1976,69,Herediano,2006
9,10,MF,Walter Centeno,6 October 1974,93,Saprissa,2006
10,11,FW,Rónald Gómez,24 January 1975,80,Saprissa,2006
11,12,DF,Leonardo González,21 November 1980,36,Herediano,2006
12,13,FW,Kurt Bernard,8 August 1977,3,Puntarenas,2006
13,14,MF,Randall Azofeifa,30 December 1984,5,Saprissa,2006
14,15,DF,Harold Wallace,7 September 1975,78,Alajuelense,2006
15,16,MF,Carlos Hernández,9 April 1982,17,Alajuelense,2006
16,17,DF,Gabriel Badilla,30 June 1984,7,Saprissa,2006
17,18,GK,José Francisco Porras,8 November 1970,16,Saprissa,2006
18,19,FW,Álvaro Saborío,25 March 1982,23,Saprissa,2006
19,20,MF,Douglas Sequeira,23 August 1977,29,Real Salt Lake,2006
20,21,FW,Víctor Núñez,15 April 1980,3,Cartaginés,2006
21,22,DF,Michael Rodríguez,30 December 1981,3,Alajuelense,2006
22,23,GK,Wardy Alfaro,31 December 1977,2,Alajuelense,2006
0,1,GK,Edwin Villafuerte,12 March 1979,15,Deportivo Quito,2006
1,2,DF,Jorge Guagua,28 September 1981,18,El Nacional,2006
2,3,DF,Iván Hurtado (c),16 August 1974,130,Al-Arabi,2006
3,4,DF,Ulises de la Cruz,8 February 1974,84,Aston Villa,2006
4,5,DF,José Luis Perlaza,6 October 1981,3,Olmedo,2006
5,6,MF,Patricio Urrutia,15 October 1978,6,LDU Quito,2006
6,7,MF,Christian Lara,27 April 1980,19,El Nacional,2006
7,8,MF,Edison Méndez,16 March 1979,64,LDU Quito,2006
8,9,FW,Félix Borja,2 April 1983,6,El Nacional[2],2006
9,10,FW,Iván Kaviedes,24 October 1977,44,Argentinos Juniors,2006
10,11,FW,Agustín Delgado,23 December 1974,68,LDU Quito,2006
11,12,GK,Cristian Mora,26 August 1979,8,LDU Quito,2006
12,13,DF,Paúl Ambrosi,14 October 1980,24,LDU Quito,2006
13,14,MF,Segundo Castillo,15 May 1982,11,El Nacional[3],2006
14,15,MF,Marlon Ayoví,27 September 1971,74,Deportivo Quito,2006
15,16,MF,Antonio Valencia,4 August 1985,17,Recreativo[4],2006
16,17,DF,Giovanny Espinoza,12 April 1977,56,LDU Quito,2006
17,18,DF,Néicer Reasco,23 July 1977,31,LDU Quito[5],2006
18,19,MF,Luis Saritama,20 October 1983,15,Deportivo Quito,2006
19,20,MF,Edwin Tenorio,16 June 1976,68,Barcelona SC,2006
20,21,FW,Carlos Tenorio,14 May 1979,29,Al Sadd,2006
21,22,GK,Damián Lanza,10 April 1982,5,Aucas,2006
22,23,FW,Christian Benítez,1 May 1986,5,El Nacional,2006
0,1,GK,Jens Lehmann,10 November 1969,32,Arsenal,2006
1,2,DF,Marcell Jansen,4 November 1985,7,Borussia Mönchengladbach,2006
2,3,DF,Arne Friedrich,29 May 1979,36,Hertha BSC,2006
3,4,DF,Robert Huth,18 August 1984,16,Chelsea,2006
4,5,MF,Sebastian Kehl,13 February 1980,27,Borussia Dortmund,2006
5,6,DF,Jens Nowotny,11 January 1974,46,Bayer Leverkusen,2006
6,7,MF,Bastian Schweinsteiger,1 August 1984,28,Bayern Munich,2006
7,8,MF,Torsten Frings,22 November 1976,52,Werder Bremen,2006
8,9,FW,Mike Hanke,5 November 1983,6,VfL Wolfsburg,2006
9,10,FW,Oliver Neuville,1 May 1973,55,Borussia Mönchengladbach,2006
10,11,FW,Miroslav Klose,9 June 1978,55,Werder Bremen,2006
11,12,GK,Oliver Kahn,15 June 1969,85,Bayern Munich,2006
12,13,MF,Michael Ballack (c),26 September 1976,65,Bayern Munich[6],2006
13,14,FW,Gerald Asamoah,3 October 1978,40,Schalke 04,2006
14,15,MF,Thomas Hitzlsperger,5 April 1982,15,VfB Stuttgart,2006
15,16,DF,Philipp Lahm,11 November 1983,18,Bayern Munich,2006
16,17,DF,Per Mertesacker,29 September 1984,23,Hannover 96,2006
17,18,MF,Tim Borowski,2 May 1980,20,Werder Bremen,2006
18,19,MF,Bernd Schneider,17 November 1973,64,Bayer Leverkusen,2006
19,20,FW,Lukas Podolski,4 June 1985,25,1. FC Köln[7],2006
20,21,DF,Christoph Metzelder,5 November 1980,22,Borussia Dortmund,2006
21,22,MF,David Odonkor,21 February 1984,1,Borussia Dortmund,2006
22,23,GK,Timo Hildebrand,5 April 1979,3,VfB Stuttgart,2006
0,1,GK,Artur Boruc,20 February 1980,17,Celtic,2006
1,2,DF,Mariusz Jop,3 August 1978,12,FC Moscow,2006
2,3,DF,Seweryn Gancarczyk,22 November 1981,2,Metalist Kharkiv,2006
3,4,DF,Marcin Baszczyński,7 June 1977,32,Wisła Kraków,2006
4,5,MF,Kamil Kosowski,30 August 1977,45,1. FC Kaiserslautern[8],2006
5,6,DF,Jacek Bąk (c),24 March 1973,72,Al-Rayyan[9],2006
6,7,MF,Radosław Sobolewski,13 December 1976,19,Wisła Kraków,2006
7,8,MF,Jacek Krzynówek,15 May 1976,58,Bayer Leverkusen[10],2006
8,9,FW,Maciej Żurawski,12 September 1976,50,Celtic,2006
9,10,MF,Mirosław Szymkowiak,12 November 1976,29,Trabzonspor,2006
10,11,FW,Grzegorz Rasiak,12 January 1979,30,Tottenham Hotspur[11],2006
11,12,GK,Tomasz Kuszczak,23 March 1982,4,West Bromwich Albion,2006
12,13,MF,Sebastian Mila,10 July 1982,27,Austria Wien,2006
13,14,DF,Michał Żewłakow,22 April 1976,56,Anderlecht[12],2006
14,15,FW,Euzebiusz Smolarek,9 January 1981,13,Borussia Dortmund,2006
15,16,MF,Arkadiusz Radomski,27 June 1977,20,Austria Wien,2006
16,17,MF,Dariusz Dudka,9 December 1983,7,Wisła Kraków,2006
17,18,DF,Mariusz Lewandowski,18 May 1979,25,Shakhtar Donetsk,2006
18,19,DF,Bartosz Bosacki,20 December 1975,11,Lech Poznań[13],2006
19,20,MF,Piotr Giza,28 February 1980,4,Cracovia,2006
20,21,FW,Ireneusz Jeleń,9 April 1981,9,Wisła Płock,2006
21,22,GK,Łukasz Fabiański,18 April 1985,2,Legia Warsaw,2006
22,23,FW,Paweł Brożek,21 April 1983,4,Wisła Kraków,2006
0,1,GK,Paul Robinson,15 October 1979,21,Tottenham Hotspur,2006
1,2,DF,Gary Neville,18 February 1975,79,Manchester United,2006
2,3,DF,Ashley Cole,20 December 1980,46,Arsenal,2006
3,4,MF,Steven Gerrard,30 May 1980,42,Liverpool,2006
4,5,DF,Rio Ferdinand,7 November 1978,47,Manchester United,2006
5,6,DF,John Terry,7 December 1980,24,Chelsea,2006
6,7,MF,David Beckham (c),2 May 1975,89,Real Madrid,2006
7,8,MF,Frank Lampard,20 June 1978,40,Chelsea,2006
8,9,FW,Wayne Rooney,24 October 1985,29,Manchester United,2006
9,10,FW,Michael Owen,14 December 1979,77,Newcastle United,2006
10,11,MF,Joe Cole,8 November 1981,32,Chelsea,2006
11,12,DF,Sol Campbell,18 September 1974,68,Arsenal,2006
12,13,GK,David James,1 August 1970,34,Manchester City,2006
13,14,DF,Wayne Bridge,5 August 1980,23,Chelsea[14],2006
14,15,DF,Jamie Carragher,28 January 1978,25,Liverpool,2006
15,16,MF,Owen Hargreaves,20 January 1981,30,Bayern Munich,2006
16,17,MF,Jermaine Jenas,18 February 1983,15,Tottenham Hotspur,2006
17,18,MF,Michael Carrick,28 July 1981,6,Tottenham Hotspur,2006
18,19,MF,Aaron Lennon,16 April 1987,1,Tottenham Hotspur,2006
19,20,MF,Stewart Downing,22 July 1984,2,Middlesbrough,2006
20,21,FW,Peter Crouch,30 January 1981,7,Liverpool,2006
21,22,GK,Scott Carson,3 September 1985,0,Liverpool[15],2006
22,23,FW,Theo Walcott,16 March 1989,1,Arsenal,2006
0,1,GK,Justo Villar,30 June 1977,39,Newell's Old Boys,2006
1,2,DF,Jorge Núñez,22 January 1978,15,Estudiantes,2006
2,3,DF,Delio Toledo,2 October 1976,30,Zaragoza,2006
3,4,DF,Carlos Gamarra (c),17 February 1971,106,Palmeiras,2006
4,5,DF,Julio César Cáceres,5 October 1979,32,River Plate,2006
5,6,MF,Carlos Bonet,2 October 1977,29,Libertad,2006
6,7,FW,Salvador Cabañas,5 August 1980,15,Jaguares[16],2006
7,8,MF,Édgar Barreto,15 July 1984,15,NEC,2006
8,9,FW,Roque Santa Cruz,16 August 1981,42,Bayern Munich,2006
9,10,MF,Roberto Acuña,25 March 1972,93,Deportivo La Coruña,2006
10,11,MF,Diego Gavilán,1 March 1980,39,Newell's Old Boys,2006
11,12,GK,Derlis Gómez,2 November 1972,5,Sportivo Luqueño,2006
12,13,MF,Carlos Paredes,16 July 1976,68,Reggina[17],2006
13,14,DF,Paulo da Silva,1 February 1980,33,Toluca,2006
14,15,DF,Julio César Manzur,22 January 1981,13,Santos,2006
15,16,MF,Cristian Riveros,16 October 1982,9,Libertad,2006
16,17,MF,José Montiel,19 March 1988,6,Olimpia,2006
17,18,FW,Nelson Haedo Valdez,28 November 1983,11,Werder Bremen[18],2006
18,19,MF,Julio dos Santos,7 May 1983,17,Bayern Munich,2006
19,20,FW,Dante López,16 August 1983,7,Genoa,2006
20,21,DF,Denis Caniza,29 August 1974,74,Cruz Azul[19],2006
21,22,GK,Aldo Bobadilla,20 April 1976,5,Libertad,2006
22,23,FW,Nelson Cuevas,10 January 1980,35,Pachuca,2006
0,1,GK,Andreas Isaksson,3 October 1981,39,Rennes,2006
1,2,DF,Mikael Nilsson,24 June 1978,27,Panathinaikos,2006
2,3,DF,Olof Mellberg (c),3 September 1977,64,Aston Villa,2006
3,4,DF,Teddy Lučić,15 April 1973,81,Häcken,2006
4,5,DF,Erik Edman,11 November 1978,37,Rennes,2006
5,6,MF,Tobias Linderoth,21 April 1979,58,Copenhagen,2006
6,7,MF,Niclas Alexandersson,29 December 1971,87,IFK Göteborg,2006
7,8,MF,Anders Svensson,17 July 1976,66,Elfsborg,2006
8,9,MF,Freddie Ljungberg,16 April 1977,57,Arsenal,2006
9,10,FW,Zlatan Ibrahimović,3 October 1981,38,Juventus,2006
10,11,FW,Henrik Larsson,20 September 1971,89,Barcelona[20],2006
11,12,GK,John Alvbåge,10 August 1982,2,Viborg,2006
12,13,DF,Petter Hansson,14 December 1976,13,Heerenveen,2006
13,14,DF,Fredrik Stenman,2 June 1983,1,Bayer Leverkusen,2006
14,15,DF,Karl Svensson,21 March 1984,1,IFK Göteborg[21],2006
15,16,MF,Kim Källström,24 August 1982,34,Rennes[22],2006
