,No.,Pos.,Player,Date of birth (age),Caps,Club,Year
16,17,FW,Johan Elmander,27 May 1981,18,Brøndby[23],2006
17,18,MF,Mattias Jonson,16 January 1974,53,Djurgården,2006
18,19,MF,Daniel Andersson,28 August 1977,47,Malmö FF,2006
19,20,FW,Marcus Allbäck,5 July 1973,56,Copenhagen,2006
20,21,MF,Christian Wilhelmsson,8 December 1979,29,Anderlecht,2006
21,22,FW,Markus Rosenberg,27 September 1982,8,Ajax,2006
22,23,GK,Rami Shaaban,30 June 1975,1,Fredrikstad,2006
0,1,GK,Shaka Hislop,22 February 1969,24,West Ham United[24],2006
1,2,DF,Ian Cox,25 March 1971,16,Gillingham,2006
2,3,DF,Avery John,18 June 1975,57,New England Revolution,2006
3,4,DF,Marvin Andrews,22 December 1975,98,Rangers,2006
4,5,DF,Brent Sancho,13 March 1977,40,Gillingham,2006
5,6,DF,Dennis Lawrence,1 August 1974,63,Wrexham[25],2006
6,7,MF,Chris Birchall,5 May 1984,19,Port Vale,2006
7,8,DF,Cyd Gray,21 November 1976,39,San Juan Jabloteh,2006
8,9,MF,Aurtis Whitley,1 May 1977,24,San Juan Jabloteh,2006
9,10,MF,Russell Latapy,2 August 1968,66,Falkirk,2006
10,11,DF,Carlos Edwards,24 October 1978,51,Luton Town,2006
11,12,FW,Collin Samuel,27 August 1981,18,Dundee United,2006
12,13,FW,Cornell Glen,21 October 1980,35,LA Galaxy,2006
13,14,FW,Stern John,30 October 1976,95,Coventry City,2006
14,15,FW,Kenwyne Jones,5 October 1984,29,Southampton,2006
15,16,MF,Evans Wise,23 November 1973,16,Waldhof Mannheim,2006
16,17,DF,David Atiba Charles,29 August 1977,19,W Connection,2006
17,18,MF,Densill Theobald,27 June 1982,38,Falkirk,2006
18,19,FW,Dwight Yorke (c),3 November 1971,54,Sydney FC,2006
19,20,FW,Jason Scotland,18 February 1979,25,St. Johnstone,2006
20,21,GK,Kelvin Jack,29 April 1976,32,Dundee,2006
21,22,GK,Clayton Ince,12 July 1972,63,Coventry City,2006
22,23,MF,Anthony Wolfe,23 December 1983,4,San Juan Jabloteh,2006
0,1,GK,Roberto Abbondanzieri,19 August 1972,22,Boca Juniors[26],2006
1,2,DF,Roberto Ayala,14 April 1973,100,Valencia,2006
2,3,DF,Juan Pablo Sorín (c),5 May 1976,71,Villarreal,2006
3,4,DF,Fabricio Coloccini,22 January 1982,23,Deportivo La Coruña,2006
4,5,MF,Esteban Cambiasso,18 August 1980,22,Inter Milan,2006
5,6,DF,Gabriel Heinze,19 April 1978,29,Manchester United,2006
6,7,FW,Javier Saviola,11 December 1981,31,Barcelona[27],2006
7,8,MF,Javier Mascherano,8 June 1984,15,Corinthians,2006
8,9,FW,Hernán Crespo,5 July 1975,55,Chelsea,2006
9,10,MF,Juan Román Riquelme,24 June 1978,31,Villarreal,2006
10,11,FW,Carlos Tevez,5 February 1984,21,Corinthians,2006
11,12,GK,Leo Franco,29 May 1977,3,Atlético Madrid,2006
12,13,DF,Lionel Scaloni,16 May 1978,6,Deportivo La Coruña[28],2006
13,14,FW,Rodrigo Palacio,5 February 1982,2,Boca Juniors,2006
14,15,DF,Gabriel Milito,7 September 1980,15,Zaragoza,2006
15,16,MF,Pablo Aimar,3 November 1979,40,Valencia,2006
16,17,DF,Leandro Cufré,9 May 1978,2,Roma,2006
17,18,MF,Maxi Rodríguez,2 January 1981,13,Atlético Madrid,2006
18,19,FW,Lionel Messi,24 June 1987,7,Barcelona,2006
19,20,FW,Julio Cruz,10 October 1974,15,Inter Milan,2006
20,21,DF,Nicolás Burdisso,12 April 1981,8,Inter Milan,2006
21,22,MF,Lucho González,19 January 1981,27,Porto,2006
22,23,GK,Óscar Ustari,3 July 1986,0,Independiente,2006
0,1,GK,Jean-Jacques Tizié,7 September 1972,24,Espérance de Tunis,2006
1,2,MF,Kanga Akalé,7 March 1981,22,Auxerre,2006
2,3,DF,Arthur Boka,2 April 1983,23,Strasbourg,2006
3,4,DF,Kolo Touré,19 March 1981,42,Arsenal,2006
4,5,MF,Didier Zokora,14 December 1980,38,Saint-Étienne,2006
5,6,DF,Blaise Kouassi,2 February 1975,36,Troyes,2006
6,7,MF,Emerse Faé,24 January 1984,14,Nantes,2006
7,8,FW,Bonaventure Kalou,12 January 1978,49,Paris Saint-Germain,2006
8,9,FW,Arouna Koné,11 November 1983,17,PSV Eindhoven,2006
9,10,MF,Gilles Yapi Yapo,13 January 1982,26,Young Boys,2006
10,11,FW,Didier Drogba (c),11 March 1978,32,Chelsea,2006
11,12,DF,Abdoulaye Méïté,6 October 1980,18,Marseille,2006
12,13,DF,Marco Zoro,27 December 1983,13,Messina,2006
13,14,FW,Bakari Koné,17 September 1981,16,Nice,2006
14,15,FW,Aruna Dindane,26 November 1980,34,Lens,2006
15,16,GK,Gérard Gnanhouan,12 February 1979,6,Montpellier,2006
16,17,DF,Cyril Domoraud,22 July 1971,50,Créteil,2006
17,18,MF,Abdul Kader Keïta,6 August 1981,26,Lille,2006
18,19,MF,Yaya Touré,13 March 1983,14,Olympiacos,2006
19,20,DF,Guy Demel,13 June 1981,7,Hamburger SV,2006
20,21,DF,Emmanuel Eboué,4 June 1983,11,Arsenal,2006
21,22,MF,Romaric,4 June 1983,8,Le Mans,2006
22,23,GK,Boubacar Barry,30 December 1979,6,Beveren,2006
0,1,GK,Edwin van der Sar (c),29 October 1970,109,Manchester United,2006
1,2,DF,Kew Jaliens,15 September 1978,1,AZ,2006
2,3,DF,Khalid Boulahrouz,28 December 1981,11,Hamburger SV,2006
3,4,DF,Joris Mathijsen,5 April 1980,8,AZ,2006
4,5,DF,Giovanni van Bronckhorst,5 February 1975,57,Barcelona,2006
5,6,MF,Denny Landzaat,6 May 1976,23,AZ,2006
6,7,FW,Dirk Kuyt,22 July 1980,19,Feyenoord,2006
7,8,MF,Phillip Cocu,29 October 1970,97,PSV Eindhoven,2006
8,9,FW,Ruud van Nistelrooy,1 July 1976,51,Manchester United,2006
9,10,MF,Rafael van der Vaart,11 February 1983,35,Hamburger SV,2006
10,11,MF,Arjen Robben,23 January 1984,20,Chelsea,2006
11,12,DF,Jan Kromkamp,17 August 1980,11,Liverpool,2006
12,13,DF,André Ooijer,11 July 1974,19,PSV Eindhoven,2006
13,14,DF,John Heitinga,15 November 1983,18,Ajax,2006
14,15,DF,Tim de Cler,8 November 1978,3,AZ,2006
15,16,MF,Hedwiges Maduro,13 February 1985,11,Ajax,2006
16,17,FW,Robin van Persie,6 August 1983,10,Arsenal,2006
17,18,MF,Mark van Bommel,22 April 1977,37,Barcelona,2006
18,19,FW,Jan Vennegoor of Hesselink,7 November 1978,7,PSV Eindhoven,2006
19,20,MF,Wesley Sneijder,9 June 1984,23,Ajax,2006
20,21,FW,Ryan Babel,19 December 1986,6,Ajax,2006
21,22,GK,Henk Timmer,3 December 1971,2,AZ,2006
22,23,GK,Maarten Stekelenburg,22 September 1982,2,Ajax,2006
0,1,GK,Dragoslav Jevrić,8 July 1974,40,Ankaraspor,2006
1,2,MF,Ivan Ergić,21 January 1981,1,Basel,2006
2,3,DF,Ivica Dragutinović,13 November 1975,26,Sevilla,2006
3,4,MF,Igor Duljaj,29 October 1979,37,Shakhtar Donetsk,2006
4,5,DF,Nemanja Vidić,21 October 1981,20,Manchester United,2006
5,6,DF,Goran Gavrančić,2 August 1978,25,Dynamo Kyiv,2006
6,7,MF,Ognjen Koroman,19 September 1978,25,Portsmouth,2006
7,8,FW,Mateja Kežman,12 April 1979,47,Atlético Madrid,2006
8,9,FW,Savo Milošević (c),2 September 1973,98,Osasuna,2006
9,10,MF,Dejan Stanković,11 September 1978,58,Inter Milan,2006
10,11,MF,Predrag Đorđević,4 August 1972,34,Olympiacos,2006
11,12,GK,Oliver Kovačević,29 December 1974,3,CSKA Sofia,2006
12,13,DF,Dušan Basta,18 August 1984,2,Red Star Belgrade,2006
13,14,DF,Nenad Đorđević,7 August 1979,15,Partizan,2006
14,15,DF,Milan Dudić,1 November 1979,11,Red Star Belgrade,2006
15,16,DF,Dušan Petković[29],13 June 1974,7,OFK Beograd,2006
16,17,MF,Albert Nađ,29 October 1974,42,Partizan,2006
17,18,MF,Zvonimir Vukić,19 July 1979,25,Shakhtar Donetsk[30],2006
18,19,FW,Nikola Žigić,25 September 1980,11,Red Star Belgrade,2006
19,20,DF,Mladen Krstajić,4 March 1974,45,Schalke 04,2006
20,21,FW,Danijel Ljuboja,4 September 1978,15,Paris Saint-Germain[31],2006
21,22,MF,Saša Ilić,30 December 1977,32,Galatasaray,2006
22,23,GK,Vladimir Stojković,28 July 1983,0,Red Star Belgrade[32],2006
0,1,GK,João Ricardo,7 January 1970,26,Moreirense[33],2006
1,2,DF,Marco Airosa,6 August 1984,2,Barreirense,2006
2,3,DF,Jamba,10 July 1977,35,ASA,2006
3,4,DF,Lebo Lebo,29 May 1977,15,Petro Atlético,2006
4,5,DF,Kali,11 October 1978,21,Barreirense,2006
5,6,MF,Miloy,27 May 1981,11,Interclube,2006
6,7,MF,Paulo Figueiredo,28 November 1972,22,Varzim,2006
7,8,MF,André Macanga,14 May 1978,33,Al-Salmiya,2006
8,9,FW,Mantorras,18 March 1982,11,Benfica,2006
9,10,FW,Akwá (c),30 May 1977,77,Al-Wakrah[34],2006
10,11,FW,Mateus,19 June 1984,4,Gil Vicente,2006
11,12,GK,Lamá,1 February 1981,9,Petro Atlético,2006
12,13,MF,Edson Nobre,3 February 1980,7,Paços de Ferreira,2006
13,14,MF,Mendonça,9 October 1982,34,Varzim,2006
14,15,DF,Rui Marques,3 September 1977,1,Leeds United[35],2006
15,16,FW,Flávio,20 December 1979,46,Al Ahly,2006
16,17,MF,Zé Kalanga,12 October 1983,23,Petro Atlético,2006
17,18,FW,Love,14 March 1979,35,ASA,2006
18,19,FW,Titi Buengo,11 February 1980,2,Clermont,2006
19,20,DF,Locó,25 December 1984,11,Primeiro Agosto,2006
20,21,DF,Delgado,1 November 1979,17,Petro Atlético,2006
21,22,GK,Mário Hipólito,1 June 1985,1,Interclube,2006
22,23,DF,Marco Abreu,8 December 1974,3,Portimonense,2006
0,1,GK,Ebrahim Mirzapour,16 September 1978,64,Foolad,2006
1,2,MF,Mehdi Mahdavikia,24 July 1977,89,Hamburger SV,2006
2,3,DF,Sohrab Bakhtiarizadeh,11 September 1973,31,Saba Battery,2006
3,4,DF,Yahya Golmohammadi,19 March 1971,69,Saba Battery,2006
4,5,DF,Rahman Rezaei,20 February 1975,43,Messina,2006
5,6,MF,Javad Nekounam,7 September 1980,71,Al-Sharjah[36],2006
6,7,MF,Ferydoon Zandi,26 April 1979,10,1. FC Kaiserslautern,2006
7,8,MF,Ali Karimi,8 November 1978,90,Bayern Munich,2006
8,9,FW,Vahid Hashemian,21 July 1976,28,Hannover 96,2006
9,10,FW,Ali Daei (c),21 March 1969,147,Saba Battery,2006
10,11,FW,Rasoul Khatibi,22 September 1978,12,Sepahan,2006
11,12,GK,Hassan Roudbarian,6 July 1978,3,Pas,2006
12,13,DF,Hossein Kaebi,23 September 1985,44,Foolad,2006
13,14,MF,Andranik Teymourian,6 March 1983,7,Abu Moslem,2006
14,15,FW,Arash Borhani,14 September 1983,20,Pas,2006
15,16,FW,Reza Enayati,23 September 1976,15,Esteghlal,2006
16,17,FW,Javad Kazemian,23 April 1981,25,Persepolis,2006
17,18,MF,Moharram Navidkia,1 November 1982,24,VfL Bochum,2006
18,19,DF,Amir Hossein Sadeghi,6 September 1981,1,Esteghlal,2006
19,20,DF,Mohammad Nosrati,11 January 1982,44,Pas,2006
20,21,MF,Mehrzad Madanchi,12 October 1982,6,Persepolis,2006
21,22,GK,Vahid Talebloo,26 May 1982,1,Esteghlal,2006
22,23,MF,Masoud Shojaei,9 June 1984,3,Saipa,2006
0,1,GK,Oswaldo Sánchez,21 September 1973,70,Guadalajara,2006
1,2,DF,Claudio Suárez,17 December 1968,178,Chivas USA,2006
2,3,DF,Carlos Salcido,2 April 1980,32,Guadalajara[37],2006
3,4,DF,Rafael Márquez (c),13 February 1979,65,Barcelona,2006
4,5,DF,Ricardo Osorio,30 March 1980,39,Cruz Azul[38],2006
5,6,MF,Gerardo Torrado,30 April 1979,56,Cruz Azul,2006
6,7,MF,Sinha,23 May 1976,32,Toluca,2006
7,8,MF,Pável Pardo,26 July 1976,125,América[39],2006
8,9,FW,Jared Borgetti,14 August 1973,75,Bolton Wanderers[40],2006
9,10,FW,Guillermo Franco,3 November 1976,7,Villarreal,2006
10,11,MF,Ramón Morales,10 October 1975,46,Guadalajara,2006
11,12,GK,José de Jesús Corona,26 January 1981,6,Tecos,2006
12,13,GK,Guillermo Ochoa,13 July 1985,1,América,2006
13,14,DF,Gonzalo Pineda,19 October 1982,30,Guadalajara,2006
14,15,DF,José Antonio Castro,11 August 1980,12,América,2006
15,16,DF,Mario Méndez,1 June 1979,32,Monterrey,2006
16,17,FW,Francisco Fonseca,2 October 1979,29,Cruz Azul[41],2006
17,18,MF,Andrés Guardado,28 September 1986,7,Atlas,2006
18,19,FW,Omar Bravo,4 March 1980,33,Guadalajara,2006
19,20,MF,Rafael García,14 August 1974,52,Atlas,2006
20,21,MF,Jesús Arellano,8 May 1973,69,Monterrey,2006
21,22,DF,Francisco Javier Rodríguez,20 October 1981,32,Guadalajara,2006
22,23,MF,Luis Ernesto Pérez,12 January 1981,52,Monterrey,2006
0,1,GK,Ricardo,11 February 1976,49,Sporting CP,2006
1,2,DF,Paulo Ferreira,18 January 1979,30,Chelsea,2006
2,3,DF,Marco Caneira,9 February 1979,14,Valencia[42],2006
3,4,DF,Ricardo Costa,16 May 1981,3,Porto,2006
4,5,DF,Fernando Meira,5 June 1978,30,VfB Stuttgart,2006
5,6,MF,Costinha,1 December 1974,44,Dynamo Moscow[43],2006
6,7,MF,Luís Figo (c),4 November 1972,120,Inter Milan,2006
7,8,MF,Petit,25 September 1976,36,Benfica,2006
8,9,FW,Pauleta,28 April 1973,82,Paris Saint-Germain,2006
9,10,MF,Hugo Viana,15 January 1983,21,Valencia,2006
10,11,FW,Simão,31 October 1979,43,Benfica,2006
11,12,GK,Quim,13 November 1975,24,Benfica,2006
12,13,DF,Miguel,4 January 1980,28,Valencia,2006
13,14,DF,Nuno Valente,12 September 1974,23,Everton,2006
14,15,FW,Luís Boa Morte,4 August 1977,24,Fulham,2006
15,16,DF,Ricardo Carvalho,18 May 1978,24,Chelsea,2006
16,17,FW,Cristiano Ronaldo,5 February 1985,32,Manchester United,2006
17,18,MF,Maniche,11 November 1977,31,Dynamo Moscow[44],2006
18,19,MF,Tiago,2 May 1981,22,Lyon,2006
19,20,MF,Deco,27 August 1977,35,Barcelona,2006
20,21,FW,Nuno Gomes,5 July 1976,53,Benfica,2006
21,22,GK,Paulo Santos,11 December 1972,1,Braga,2006
22,23,FW,Hélder Postiga,2 August 1982,24,Porto[45],2006
0,1,GK,Petr Čech,20 May 1982,41,Chelsea,2006
1,2,DF,Zdeněk Grygera,14 May 1980,41,Ajax,2006
2,3,DF,Pavel Mareš,18 January 1976,10,Zenit Saint Petersburg,2006
3,4,MF,Tomáš Galásek (c),15 January 1973,49,Ajax[46],2006
4,5,DF,Radoslav Kováč,11 November 1979,6,Spartak Moscow,2006
5,6,DF,Marek Jankulovski,9 May 1977,48,Milan,2006
6,7,MF,Libor Sionko,1 February 1977,17,Austria Wien[47],2006
7,8,MF,Karel Poborský,30 March 1972,115,Dynamo České Budějovice,2006
8,9,FW,Jan Koller,30 March 1973,68,Borussia Dortmund[48],2006
9,10,MF,Tomáš Rosický,4 October 1980,54,Borussia Dortmund[49],2006
10,11,MF,Pavel Nedvěd,30 August 1972,87,Juventus,2006
11,12,FW,Vratislav Lokvenc,27 September 1973,72,Red Bull Salzburg,2006
12,13,DF,Martin Jiránek,25 May 1979,24,Spartak Moscow,2006
13,14,MF,David Jarolím,17 May 1979,3,Hamburger SV,2006
14,15,FW,Milan Baroš,28 October 1981,49,Aston Villa,2006
15,16,GK,Jaromír Blažek,29 December 1972,11,Sparta Prague,2006
16,17,FW,Jiří Štajner,27 May 1976,21,Hannover 96,2006
17,18,FW,Marek Heinz,4 August 1977,28,Galatasaray,2006
18,19,MF,Jan Polák,14 March 1981,18,1. FC Nürnberg,2006
19,20,MF,Jaroslav Plašil,5 January 1982,14,Monaco,2006
20,21,DF,Tomáš Ujfaluši,24 March 1978,48,Fiorentina,2006
21,22,DF,David Rozehnal,5 July 1980,22,Paris Saint-Germain,2006
22,23,GK,Antonín Kinský,31 May 1975,5,Saturn Ramenskoye,2006
0,1,GK,Sammy Adjei,1 September 1980,31,Ashdod,2006
1,2,MF,Hans Sarpei,28 June 1976,7,VfL Wolfsburg,2006
